"lat","lon","notes","Date","Name","Municipality"
10.743644,124.786569,"STME  w/ 2   APCL","06/07/14","Visca","Bay Bay"
10.743624,124.786585,"ENQD  w/ 1   APFR","06/07/14","Visca","Bay Bay"
10.743351,124.786802,"ENQD","06/07/14","Visca","Bay Bay"
10.743483,124.78686,"HECR  w/ 2   APCL","06/07/14","Visca","Bay Bay"
10.744076,124.786161,"ENQD  w/ 1   APFR","06/07/14","Visca","Bay Bay"
10.743886,124.786347,"MADO  w/ 4   APCL","06/07/14","Visca","Bay Bay"
10.743688,124.786574,"HECR  w/ 3   APFR","06/07/14","Visca","Bay Bay"
10.743582,124.786624,"STME  w/ 2   APCL","06/07/14","Visca","Bay Bay"
10.742899,124.787067,"MADO  w/ 2   APCL","06/07/14","Visca","Bay Bay"
10.764339,124.785283,"HECR  w/ 5   APCL","06/10/14","Poroc San Flower, Marcos","Bay Bay"
10.764416,124.785318,"HECR  w/ 6   APCL","06/10/14","Poroc San Flower, Marcos","Bay Bay"
10.764533,124.785438,"HECR  w/ 2   APCL","06/10/14","Poroc San Flower, Marcos","Bay Bay"
10.764333,124.785395,"HEMA  w/ 1   APCL","06/10/14","Poroc San Flower, Marcos","Bay Bay"
10.763843,124.785206,"HECR  w/ 2   APCL","06/10/14","Poroc San Flower, Marcos","Bay Bay"
10.764098,124.785318,"HECR  w/ 4   APCL","06/10/14","Poroc San Flower, Marcos","Bay Bay"
10.764126,124.785297,"HEMA  w/ 1   APPE","06/10/14","Poroc San Flower, Marcos","Bay Bay"
10.764194,124.785259,"HECR  w/ 1   APCL","06/10/14","Poroc San Flower, Marcos","Bay Bay"
10.764217,124.785271,"HECR  w/ 1   APCL","06/10/14","Poroc San Flower, Marcos","Bay Bay"
10.764238,124.785258,"HECR  w/ 1   APCL","06/10/14","Poroc San Flower, Marcos","Bay Bay"
10.764209,124.785268,"HECR  w/ 2   APCL","06/10/14","Poroc San Flower, Marcos","Bay Bay"
10.85559,124.726555,"HECR  w/ 3   APPE","06/11/14","Cabatoan, Tinag-an","Albuera"
10.855545,124.726607,"HECR  w/ 1   APCL","06/11/14","Cabatoan, Tinag-an","Albuera"
10.855385,124.726795,"HECR  w/ 3   APPE","06/11/14","Cabatoan, Tinag-an","Albuera"
10.855385,124.726795,"HECR","06/11/14","Cabatoan, Tinag-an","Albuera"
10.855303,124.726788,"HECR  w/ 1   APCL","06/11/14","Cabatoan, Tinag-an","Albuera"
10.855219,124.726825,"HECR  w/ 4   APPE","06/11/14","Cabatoan, Tinag-an","Albuera"
10.855233,124.726936,"HECR  w/ 2   APPE","06/11/14","Cabatoan, Tinag-an","Albuera"
10.855121,124.727046,"HECR  w/ 1   APCL","06/11/14","Cabatoan, Tinag-an","Albuera"
10.854886,124.727431,"ENQD  w/ 3   APFR","06/11/14","Cabatoan, Tinag-an","Albuera"
10.854869,124.727531,"HECR  w/ 3   APCL","06/11/14","Cabatoan, Tinag-an","Albuera"
10.854878,124.727576,"HECR  w/ 2   APPE","06/11/14","Cabatoan, Tinag-an","Albuera"
10.854868,124.727599,"HECR  w/ 2   APPE","06/11/14","Cabatoan, Tinag-an","Albuera"
10.854868,124.727599,"MADO  w/ 1   APCL","06/11/14","Cabatoan, Tinag-an","Albuera"
10.854883,124.727632,"HECR  w/ 2   APPE","06/11/14","Cabatoan, Tinag-an","Albuera"
10.854896,124.727704,"HECR  w/ 2   APPE","06/11/14","Cabatoan, Tinag-an","Albuera"
10.854918,124.727892,"ENQD  w/ 3   APFR","06/11/14","Cabatoan, Tinag-an","Albuera"
10.85495,124.72786,"HECR  w/ 3   APCL","06/11/14","Cabatoan, Tinag-an","Albuera"
10.854978,124.727804,"HECR  w/ 2   APPE","06/11/14","Cabatoan, Tinag-an","Albuera"
10.854998,124.727765,"HECR  w/ 2   APPE","06/11/14","Cabatoan, Tinag-an","Albuera"
10.855047,124.727728,"HECR  w/ 4   APCL","06/11/14","Cabatoan, Tinag-an","Albuera"
10.855066,124.727683,"HECR  w/ 2   APCL","06/11/14","Cabatoan, Tinag-an","Albuera"
10.855065,124.727553,"HECR  w/ 2   APPE","06/11/14","Cabatoan, Tinag-an","Albuera"
10.855065,124.727521,"HECR  w/ 3   APPE","06/11/14","Cabatoan, Tinag-an","Albuera"
10.855099,124.727454,"HECR  w/ 2   APPE","06/11/14","Cabatoan, Tinag-an","Albuera"
10.855103,124.727451,"HECR  w/ 1   APCL","06/11/14","Cabatoan, Tinag-an","Albuera"
10.855167,124.727326,"HECR  w/ 2   APCL","06/11/14","Cabatoan, Tinag-an","Albuera"
10.653318,124.78404,"HECR  w/ 2   APFR","06/12/14","Tamakin Dacot, Punta","Bay Bay"
10.653273,124.783983,"HEMA  w/ 3   APCL","06/12/14","Tamakin Dacot, Punta","Bay Bay"
10.653263,124.783976,"STME  w/ 4   APSA","06/12/14","Tamakin Dacot, Punta","Bay Bay"
10.653147,124.784007,"ENQD  w/ 2   APFR","06/12/14","Tamakin Dacot, Punta","Bay Bay"
10.653107,124.784079,"HECR  w/ 2   APFR","06/12/14","Tamakin Dacot, Punta","Bay Bay"
10.65309,124.784171,"ENQD  w/ 2   APFR","06/12/14","Tamakin Dacot, Punta","Bay Bay"
10.652625,124.783858,"ENQD  w/ 2   APFR","06/12/14","Tamakin Dacot, Punta","Bay Bay"
10.652583,124.783787,"HECR  w/ 1   APCL","06/12/14","Tamakin Dacot, Punta","Bay Bay"
10.652397,124.78372,"HECR  w/ 1   APCL","06/12/14","Tamakin Dacot, Punta","Bay Bay"
10.652401,124.783904,"HECR  w/ 2   APPE","06/12/14","Tamakin Dacot, Punta","Bay Bay"
10.652077,124.783635,"ENQD  w/ 2   APFR","06/12/14","Tamakin Dacot, Punta","Bay Bay"
10.652146,124.783819,"HECR  w/ 4   APCL","06/12/14","Tamakin Dacot, Punta","Bay Bay"
10.652091,124.783907,"HEAR  w/ 4   APCL","06/12/14","Tamakin Dacot, Punta","Bay Bay"
10.652196,124.783269,"ENQD  w/ 2   APFR","06/12/14","Tamakin Dacot, Punta","Bay Bay"
10.652164,124.783283,"HECR  w/ 1   APCL","06/12/14","Tamakin Dacot, Punta","Bay Bay"
10.651989,124.783033,"STME  w/ 3   APCL","06/12/14","Tamakin Dacot, Punta","Bay Bay"
10.65197,124.783019,"ENQD  w/ 2   APFR","06/12/14","Tamakin Dacot, Punta","Bay Bay"
10.652296,124.78301,"ENQD  w/ 2   APFR","06/12/14","Tamakin Dacot, Punta","Bay Bay"
10.633642,124.776675,"HECR  w/ 1   APCL","06/12/14","Sitio Baybayon, Punta","Bay Bay"
10.633642,124.776649,"HECR  w/ 3   APCL","06/12/14","Sitio Baybayon, Punta","Bay Bay"
10.633667,124.776769,"ENQD  w/ 2   APCL","06/12/14","Sitio Baybayon, Punta","Bay Bay"
10.633676,124.776794,"HECR  w/ 2   APCL","06/12/14","Sitio Baybayon, Punta","Bay Bay"
10.63368,124.776797,"HECR  w/ 1   APCL","06/12/14","Sitio Baybayon, Punta","Bay Bay"
10.633674,124.77679,"HECR  w/ 2   APCL","06/12/14","Sitio Baybayon, Punta","Bay Bay"
10.63365,124.776777,"HECR  w/ 2   APCL","06/12/14","Sitio Baybayon, Punta","Bay Bay"
10.633627,124.776795,"HECR  w/ 4   APCL","06/12/14","Sitio Baybayon, Punta","Bay Bay"
10.633605,124.776801,"HEAR  w/ 6   APCL","06/12/14","Sitio Baybayon, Punta","Bay Bay"
10.633581,124.776846,"HECR  w/ 1   APCL","06/12/14","Sitio Baybayon, Punta","Bay Bay"
10.633564,124.776807,"HECR  w/ 3   APCL","06/12/14","Sitio Baybayon, Punta","Bay Bay"
10.63357,124.776796,"ENQD  w/ 2   APCL","06/12/14","Sitio Baybayon, Punta","Bay Bay"
10.633561,124.77677,"HEAR  w/ 1   APCL","06/12/14","Sitio Baybayon, Punta","Bay Bay"
10.63357,124.776756,"HECR","06/12/14","Sitio Baybayon, Punta","Bay Bay"
10.633568,124.77676,"HECR  w/ 3   APCL","06/12/14","Sitio Baybayon, Punta","Bay Bay"
10.633775,124.776864,"STME  w/ 3   APCL","06/12/14","Sitio Baybayon, Punta","Bay Bay"
10.633762,124.776876,"HECR  w/ 3   APCL","06/12/14","Sitio Baybayon, Punta","Bay Bay"
10.633812,124.776889,"HECR  w/ 2   APCL","06/12/14","Sitio Baybayon, Punta","Bay Bay"
10.633831,124.776881,"HECR  w/ 2   APCL","06/12/14","Sitio Baybayon, Punta","Bay Bay"
10.633842,124.776851,"HECR  w/ 1   APCL","06/12/14","Sitio Baybayon, Punta","Bay Bay"
10.633842,124.776851,"HECR  w/ 1   APCL","06/12/14","Sitio Baybayon, Punta","Bay Bay"
10.633875,124.77672,"HECR  w/ 4   APCL","06/12/14","Sitio Baybayon, Punta","Bay Bay"
10.633869,124.776715,"HECR  w/ 3   APCL","06/12/14","Sitio Baybayon, Punta","Bay Bay"
10.633857,124.776694,"HECR  w/ 3   APCL","06/12/14","Sitio Baybayon, Punta","Bay Bay"
10.633875,124.776695,"HECR  w/ 1   APCL","06/12/14","Sitio Baybayon, Punta","Bay Bay"
10.633935,124.776683,"HECR  w/ 2   APCL","06/12/14","Sitio Baybayon, Punta","Bay Bay"
10.633937,124.77667,"HECR","06/12/14","Sitio Baybayon, Punta","Bay Bay"
10.633917,124.776617,"HECR","06/12/14","Sitio Baybayon, Punta","Bay Bay"
10.63394,124.776572,"STME  w/ 6   APCL","06/12/14","Sitio Baybayon, Punta","Bay Bay"
10.87326,124.712156,"HECR  w/ 1   APPE","06/13/14","Palanas","Albuera"
10.87321,124.712163,"HECR  w/ 3   APCL","06/13/14","Palanas","Albuera"
10.873184,124.712174,"STME  w/ 3   APCL","06/13/14","Palanas","Albuera"
10.873184,124.712174,"HECR  w/ 2   APCL","06/13/14","Palanas","Albuera"
10.873184,124.712174,"HECR","06/13/14","Palanas","Albuera"
10.873154,124.712173,"HECR  w/ 3   APCL","06/13/14","Palanas","Albuera"
10.873137,124.71217,"HECR  w/ 2   APCL","06/13/14","Palanas","Albuera"
10.873137,124.71217,"HECR  w/ 4   APPE","06/13/14","Palanas","Albuera"
10.873089,124.712178,"HECR  w/ 3   APCL","06/13/14","Palanas","Albuera"
10.87305,124.712179,"HECR  w/ 2   APCL","06/13/14","Palanas","Albuera"
10.873045,124.712177,"HECR  w/ 2   APPE","06/13/14","Palanas","Albuera"
10.873035,124.712177,"HECR  w/ 2   APCL","06/13/14","Palanas","Albuera"
10.873014,124.712184,"HECR  w/ 1   APPE","06/13/14","Palanas","Albuera"
10.873011,124.712188,"HECR  w/ 2   APCL","06/13/14","Palanas","Albuera"
10.872986,124.712184,"HECR  w/ 2   APPE","06/13/14","Palanas","Albuera"
10.872954,124.71221,"HECR  w/ 1   APCL","06/13/14","Palanas","Albuera"
10.872921,124.712193,"HECR  w/ 2   APPE","06/13/14","Palanas","Albuera"
10.872934,124.712104,"HECR  w/ 2   APPE","06/13/14","Palanas","Albuera"
10.872946,124.712073,"HECR  w/ 2   APPE","06/13/14","Palanas","Albuera"
10.872942,124.712024,"HECR  w/ 3   APCL","06/13/14","Palanas","Albuera"
10.872942,124.712024,"HECR  w/ 1   APPE","06/13/14","Palanas","Albuera"
10.872942,124.712018,"HECR  w/ 2   APCL","06/13/14","Palanas","Albuera"
10.872926,124.711958,"HECR  w/ 3   APCL","06/13/14","Palanas","Albuera"
10.872912,124.711925,"HECR  w/ 3   APCL","06/13/14","Palanas","Albuera"
10.872858,124.711873,"HECR  w/ 2   APCL","06/13/14","Palanas","Albuera"
10.872842,124.711851,"HECR  w/ 2   APCL","06/13/14","Palanas","Albuera"
10.872838,124.711839,"HECR  w/ 2   APPE","06/13/14","Palanas","Albuera"
10.872871,124.71177,"HECR  w/ 2   APPE","06/13/14","Palanas","Albuera"
10.872936,124.711788,"HECR  w/ 2   APCL","06/13/14","Palanas","Albuera"
10.872942,124.711806,"HECR  w/ 1   APPE","06/13/14","Palanas","Albuera"
10.872954,124.71183,"HECR  w/ 1   APPE","06/13/14","Palanas","Albuera"
10.872966,124.711871,"HECR  w/ 2   APPE","06/13/14","Palanas","Albuera"
10.873292,124.712238,"ENQD  w/ 2   APFR","06/13/14","Palanas","Albuera"
10.873428,124.712127,"HECR  w/ 1   APPE","06/13/14","Palanas","Albuera"
10.873428,124.712127,"HECR  w/ 1   APPE","06/13/14","Palanas","Albuera"
10.873428,124.712127,"HECR","06/13/14","Palanas","Albuera"
10.873417,124.712125,"HECR  w/ 3   APCL","06/13/14","Palanas","Albuera"
10.873383,124.71213,"HECR  w/ 1   APPE","06/13/14","Palanas","Albuera"
10.873383,124.71213,"HECR  w/ 2   APPE","06/13/14","Palanas","Albuera"
10.873383,124.71213,"HECR  w/ 2   APPE","06/13/14","Palanas","Albuera"
10.873374,124.712134,"HECR  w/ 2   APCL","06/13/14","Palanas","Albuera"
10.873051,124.71209,"HECR  w/ 2   APPE","06/13/14","Palanas","Albuera"
10.873059,124.712095,"HECR  w/ 2   APPE","06/13/14","Palanas","Albuera"
10.873067,124.712098,"HECR  w/ 4   APCL","06/13/14","Palanas","Albuera"
10.873073,124.712075,"HECR  w/ 1   APCL","06/13/14","Palanas","Albuera"
10.873109,124.712056,"HECR  w/ 1   APPE","06/13/14","Palanas","Albuera"
10.873111,124.712054,"HECR  w/ 1   APCL","06/13/14","Palanas","Albuera"
10.873107,124.712031,"HECR  w/ 1   APCL","06/13/14","Palanas","Albuera"
10.873411,124.711836,"HECR  w/ 2   APPE","06/13/14","Palanas","Albuera"
10.873411,124.711836,"HECR  w/ 3   APPE","06/13/14","Palanas","Albuera"
10.873495,124.711766,"HECR  w/ 2   APCL","06/13/14","Palanas","Albuera"
10.87356,124.711679,"HECR  w/ 1   APCL","06/13/14","Palanas","Albuera"
10.873591,124.71158,"HECR  w/ 2   APPE","06/13/14","Palanas","Albuera"
10.873606,124.711557,"HECR  w/ 2   APPE","06/13/14","Palanas","Albuera"
10.87361,124.711553,"HEAR  w/ 3   APCL","06/13/14","Palanas","Albuera"
10.873679,124.711447,"HECR  w/ 1   APPE","06/13/14","Palanas","Albuera"
10.873697,124.711414,"HECR  w/ 2   APPE","06/13/14","Palanas","Albuera"
10.873701,124.711405,"HECR  w/ 1   APPE","06/13/14","Palanas","Albuera"
10.873697,124.711382,"HECR  w/ 1   APPE","06/13/14","Palanas","Albuera"
10.64075,124.780256,"HECR  w/ 2   APPE","06/16/14","Haina, Punta","Bay Bay"
10.640753,124.780258,"HECR  w/ 1   APCL","06/16/14","Haina, Punta","Bay Bay"
10.640838,124.780578,"HECR  w/ 3   APCL","06/16/14","Haina, Punta","Bay Bay"
10.640808,124.780749,"HECR  w/ 2   PRBI","06/16/14","Haina, Punta","Bay Bay"
10.640706,124.781194,"HECR  w/ 7   APCL","06/16/14","Haina, Punta","Bay Bay"
10.640681,124.781209,"HECR  w/ 1   APPE","06/16/14","Haina, Punta","Bay Bay"
10.64063,124.781404,"HECR  w/ 1   APCL","06/16/14","Haina, Punta","Bay Bay"
10.640688,124.781401,"HECR  w/ 3   APFR","06/16/14","Haina, Punta","Bay Bay"
10.640617,124.781452,"ENQD  w/ 2   APFR","06/16/14","Haina, Punta","Bay Bay"
10.64052,124.781523,"HECR  w/ 3   APCL","06/16/14","Haina, Punta","Bay Bay"
10.640504,124.78161,"HECR  w/ 2   APCL","06/16/14","Haina, Punta","Bay Bay"
10.640426,124.781677,"HECR  w/ 2   APPE","06/16/14","Haina, Punta","Bay Bay"
10.640446,124.782023,"HECR  w/ 1   APPE","06/16/14","Haina, Punta","Bay Bay"
10.640607,124.782146,"HECR  w/ 2   APPE","06/16/14","Haina, Punta","Bay Bay"
10.640723,124.782225,"HECR  w/ 3   APCL","06/16/14","Haina, Punta","Bay Bay"
10.640825,124.782339,"ENQD  w/ 3   APFR","06/16/14","Haina, Punta","Bay Bay"
10.640907,124.783139,"HECR  w/ 2   APCL","06/16/14","Haina, Punta","Bay Bay"
10.640892,124.783209,"HECR  w/ 8   APCL","06/16/14","Haina, Punta","Bay Bay"
10.6409,124.783527,"HECR  w/ 6   APCL","06/16/14","Haina, Punta","Bay Bay"
10.640638,124.784005,"HECR  w/ 1   APPE","06/16/14","Haina, Punta","Bay Bay"
10.640732,124.783894,"HECR  w/ 2   APPE","06/16/14","Haina, Punta","Bay Bay"
10.640661,124.783988,"HECR  w/ 1   APCL","06/16/14","Haina, Punta","Bay Bay"
10.640647,124.783985,"ENQD  w/ 1   APOC","06/16/14","Haina, Punta","Bay Bay"
10.640682,124.779553,"HECR  w/ 1   APFR","06/16/14","Haina, Punta","Bay Bay"
10.640689,124.779566,"ENQD  w/ 1   APFR","06/16/14","Haina, Punta","Bay Bay"
10.640679,124.779731,"HECR  w/ 1   APCL","06/16/14","Haina, Punta","Bay Bay"
10.640682,124.779771,"HECR  w/ 1   APFR","06/16/14","Haina, Punta","Bay Bay"
10.640607,124.779835,"STME","06/16/14","Haina, Punta","Bay Bay"
10.640607,124.779835,"STME","06/16/14","Haina, Punta","Bay Bay"
10.640601,124.779853,"HECR  w/ 2   APCL","06/16/14","Haina, Punta","Bay Bay"
10.640596,124.779888,"ENQD  w/ 3   APFR","06/16/14","Haina, Punta","Bay Bay"
10.640604,124.779914,"HECR  w/ 3   APCL","06/16/14","Haina, Punta","Bay Bay"
10.640609,124.77992,"HECR  w/ 3   APPE","06/16/14","Haina, Punta","Bay Bay"
10.64073,124.78024,"HECR  w/ 1   APCL","06/16/14","Haina, Punta","Bay Bay"
10.652791,124.783367,"HECR  w/ 2   APPE","06/16/14","Tamakin Dacot, Punta","Bay Bay"
10.652877,124.783452,"HECR  w/ 2   APCL","06/16/14","Tamakin Dacot, Punta","Bay Bay"
10.652867,124.78351,"HECR  w/ 2   APCL","06/16/14","Tamakin Dacot, Punta","Bay Bay"
10.652898,124.783569,"HECR  w/ 1   APPE","06/16/14","Tamakin Dacot, Punta","Bay Bay"
10.652899,124.783569,"HECR  w/ 4   APPE","06/16/14","Tamakin Dacot, Punta","Bay Bay"
10.653099,124.784053,"ENQD  w/ 2   APFR","06/16/14","Tamakin Dacot, Punta","Bay Bay"
10.653052,124.784157,"ENQD  w/ 1   APFR","06/16/14","Tamakin Dacot, Punta","Bay Bay"
10.652832,124.783967,"ENQD  w/ 3   APFR","06/16/14","Tamakin Dacot, Punta","Bay Bay"
10.652871,124.783833,"HECR  w/ 2   APCL","06/16/14","Tamakin Dacot, Punta","Bay Bay"
10.652891,124.78381,"HECR  w/ 2   APCL","06/16/14","Tamakin Dacot, Punta","Bay Bay"
10.652888,124.783805,"EMPT","06/16/14","Tamakin Dacot, Punta","Bay Bay"
10.652834,124.783717,"ENQD  w/ 2   APFR","06/16/14","Tamakin Dacot, Punta","Bay Bay"
10.633538,124.776867,"HECR  w/ 3   APCL","06/16/14","Sitio Baybayon, Punta","Bay Bay"
10.633545,124.776872,"HECR  w/ 2   APFR","06/16/14","Sitio Baybayon, Punta","Bay Bay"
10.633549,124.776865,"HECR  w/ 1   APCL","06/16/14","Sitio Baybayon, Punta","Bay Bay"
10.633547,124.776866,"HECR  w/ 4   APCL","06/16/14","Sitio Baybayon, Punta","Bay Bay"
10.633544,124.776873,"HECR  w/ 4   APCL","06/16/14","Sitio Baybayon, Punta","Bay Bay"
10.633542,124.776879,"HECR","06/16/14","Sitio Baybayon, Punta","Bay Bay"
10.633541,124.776881,"HECR  w/ 1   APCL","06/16/14","Sitio Baybayon, Punta","Bay Bay"
10.633534,124.776895,"HECR  w/ 2   APPE","06/16/14","Sitio Baybayon, Punta","Bay Bay"
10.633528,124.776897,"HECR","06/16/14","Sitio Baybayon, Punta","Bay Bay"
10.633527,124.776898,"HECR  w/ 2   APCL","06/16/14","Sitio Baybayon, Punta","Bay Bay"
10.633519,124.776903,"HECR  w/ 1   APCL","06/16/14","Sitio Baybayon, Punta","Bay Bay"
10.633516,124.776905,"HECR","06/16/14","Sitio Baybayon, Punta","Bay Bay"
10.633514,124.776906,"HECR","06/16/14","Sitio Baybayon, Punta","Bay Bay"
10.633532,124.776901,"HECR  w/ 3   APCL","06/16/14","Sitio Baybayon, Punta","Bay Bay"
10.633529,124.776913,"HECR","06/16/14","Sitio Baybayon, Punta","Bay Bay"
10.633493,124.77696,"HECR  w/ 2   APFR","06/16/14","Sitio Baybayon, Punta","Bay Bay"
10.633491,124.776961,"HECR  w/ 2   APCL","06/16/14","Sitio Baybayon, Punta","Bay Bay"
10.633488,124.776962,"HECR  w/ 1   APPE","06/16/14","Sitio Baybayon, Punta","Bay Bay"
10.633482,124.776965,"HECR  w/ 1   APCL","06/16/14","Sitio Baybayon, Punta","Bay Bay"
10.633445,124.776983,"HECR  w/ 2   APCL","06/16/14","Sitio Baybayon, Punta","Bay Bay"
10.633421,124.776988,"HECR","06/16/14","Sitio Baybayon, Punta","Bay Bay"
10.633413,124.776993,"HECR  w/ 2   APCL","06/16/14","Sitio Baybayon, Punta","Bay Bay"
10.633413,124.776993,"ENQD  w/ 2   APOC","06/16/14","Sitio Baybayon, Punta","Bay Bay"
10.633406,124.776998,"ENQD  w/ 2   APOC","06/16/14","Sitio Baybayon, Punta","Bay Bay"
10.633396,124.777002,"HECR  w/ 5   APCL","06/16/14","Sitio Baybayon, Punta","Bay Bay"
10.633349,124.777013,"HECR  w/ 3   APCL","06/16/14","Sitio Baybayon, Punta","Bay Bay"
10.633336,124.777015,"HECR","06/16/14","Sitio Baybayon, Punta","Bay Bay"
10.633315,124.777023,"HECR  w/ 1   APCL","06/16/14","Sitio Baybayon, Punta","Bay Bay"
10.633181,124.77704,"HECR  w/ 2   APCL","06/16/14","Sitio Baybayon, Punta","Bay Bay"
10.633139,124.777049,"HECR  w/ 2   APCL","06/16/14","Sitio Baybayon, Punta","Bay Bay"
10.633131,124.777046,"HECR","06/16/14","Sitio Baybayon, Punta","Bay Bay"
10.633129,124.777046,"HECR  w/ 1   APCL","06/16/14","Sitio Baybayon, Punta","Bay Bay"
10.633123,124.777049,"HECR  w/ 2   APCL","06/16/14","Sitio Baybayon, Punta","Bay Bay"
10.633119,124.777045,"HECR","06/16/14","Sitio Baybayon, Punta","Bay Bay"
10.633061,124.777043,"ENQD  w/ 1   APOC","06/16/14","Sitio Baybayon, Punta","Bay Bay"
10.633037,124.777032,"HECR  w/ 3   APCL","06/16/14","Sitio Baybayon, Punta","Bay Bay"
10.633031,124.777029,"HECR","06/16/14","Sitio Baybayon, Punta","Bay Bay"
10.633016,124.777013,"HECR  w/ 1   APCL","06/16/14","Sitio Baybayon, Punta","Bay Bay"
10.632998,124.776994,"HECR  w/ 2   APCL","06/16/14","Sitio Baybayon, Punta","Bay Bay"
10.632996,124.77699,"HECR","06/16/14","Sitio Baybayon, Punta","Bay Bay"
10.632977,124.776973,"HECR  w/ 2   APCL","06/16/14","Sitio Baybayon, Punta","Bay Bay"
10.632968,124.776965,"HECR  w/ 1   APCL","06/16/14","Sitio Baybayon, Punta","Bay Bay"
10.632948,124.776961,"MADO  w/ 1   APCL","06/16/14","Sitio Baybayon, Punta","Bay Bay"
10.63293,124.776948,"HECR  w/ 3   APCL","06/16/14","Sitio Baybayon, Punta","Bay Bay"
10.633074,124.776968,"ENQD  w/ 1   APCL","06/16/14","Sitio Baybayon, Punta","Bay Bay"
10.633181,124.777027,"HECR  w/ 1   APCL","06/16/14","Sitio Baybayon, Punta","Bay Bay"
10.633178,124.777022,"HECR  w/ 3   APCL","06/16/14","Sitio Baybayon, Punta","Bay Bay"
10.873735,124.71092,"HECR  w/ 5   APCL","06/17/14","Palanas","Albuera"
10.873737,124.710915,"HECR  w/ 1   APCL","06/17/14","Palanas","Albuera"
10.873757,124.710914,"HECR","06/17/14","Palanas","Albuera"
10.873782,124.710905,"HECR  w/ 2   APCL","06/17/14","Palanas","Albuera"
10.873823,124.710907,"HECR  w/ 3   APCL","06/17/14","Palanas","Albuera"
10.87386,124.710883,"HECR  w/ 1   APPE","06/17/14","Palanas","Albuera"
10.873882,124.710869,"HECR  w/ 1   APCL","06/17/14","Palanas","Albuera"
10.873882,124.710869,"HECR  w/ 1   APPE","06/17/14","Palanas","Albuera"
10.873892,124.71086,"HECR  w/ 3   APPE","06/17/14","Palanas","Albuera"
10.8739,124.710823,"HECR  w/ 1   APCL","06/17/14","Palanas","Albuera"
10.8739,124.710823,"HECR  w/ 2   APPE","06/17/14","Palanas","Albuera"
10.873887,124.710807,"HECR  w/ 5   APPE","06/17/14","Palanas","Albuera"
10.873864,124.710787,"ENQD  w/ 2   APCL","06/17/14","Palanas","Albuera"
10.873755,124.710668,"HECR  w/ 3   APCL","06/17/14","Palanas","Albuera"
10.873866,124.710552,"HECR  w/ 3   APCL","06/17/14","Palanas","Albuera"
10.873886,124.710514,"HECR  w/ 2   APCL","06/17/14","Palanas","Albuera"
10.873954,124.71051,"STME  w/ 4   APCL","06/17/14","Palanas","Albuera"
10.874007,124.710553,"HECR  w/ 1   APCL","06/17/14","Palanas","Albuera"
10.874024,124.710545,"HEAR  w/ 3   APCL","06/17/14","Palanas","Albuera"
10.874064,124.710521,"HECR  w/ 2   APCL","06/17/14","Palanas","Albuera"
10.874161,124.710427,"HECR  w/ 2   APCL","06/17/14","Palanas","Albuera"
10.874177,124.710638,"HECR  w/ 3   APCL","06/17/14","Palanas","Albuera"
10.874177,124.710638,"HEMA","06/17/14","Palanas","Albuera"
10.874165,124.710665,"HECR  w/ 4   APCL","06/17/14","Palanas","Albuera"
10.874169,124.710683,"ENQD  w/ 1   APCL","06/17/14","Palanas","Albuera"
10.874199,124.710718,"ENQD  w/ 1   APCL","06/17/14","Palanas","Albuera"
10.874198,124.710725,"HECR  w/ 1   APCL","06/17/14","Palanas","Albuera"
10.873469,124.711388,"HECR  w/ 1   APPE","06/17/14","Palanas","Albuera"
10.87349,124.711393,"HECR  w/ 1   APPE","06/17/14","Palanas","Albuera"
10.87349,124.711393,"HECR  w/ 2   APPE","06/17/14","Palanas","Albuera"
10.873598,124.711359,"HECR","06/17/14","Palanas","Albuera"
10.873598,124.711359,"HECR","06/17/14","Palanas","Albuera"
10.87362,124.711348,"HECR  w/ 3   APPE","06/17/14","Palanas","Albuera"
10.87362,124.711348,"HECR  w/ 2   APPE","06/17/14","Palanas","Albuera"
10.87362,124.711348,"HECR  w/ 2   APPE","06/17/14","Palanas","Albuera"
10.873669,124.711316,"HECR  w/ 2   APPE","06/17/14","Palanas","Albuera"
10.873695,124.711264,"HECR  w/ 1   APCL","06/17/14","Palanas","Albuera"
10.873719,124.711233,"HECR  w/ 2   APPE","06/17/14","Palanas","Albuera"
10.873714,124.711159,"HECR  w/ 1   APCL","06/17/14","Palanas","Albuera"
10.873711,124.711142,"HECR  w/ 2   APPE","06/17/14","Palanas","Albuera"
