Name,Date/Time,Assay Conc.,Units,Stock Conc.,Units,Assay Type,Sample Vol (µL),Dilution Factor,Std 1 RFU,Std 2 RFU,Std 3 RFU,Excitation,Green RFU,Far Red RFU
4:14:24 AM,2013-12-11 4:14:24 AM,<0.010,µg/ml,,,dsDNA BR,,,310.33,"36,189.61",,BLUE,388.2,
4:14:10 AM,2013-12-11 4:14:10 AM,0.0887,µg/ml,,,dsDNA BR,,,310.33,"36,189.61",,BLUE,"1,135.01",
4:13:49 AM,2013-12-11 4:13:49 AM,<0.010,µg/ml,,,dsDNA BR,,,310.33,"36,189.61",,BLUE,391.98,
4:13:31 AM,2013-12-11 4:13:31 AM,0.045,µg/ml,,,dsDNA BR,,,310.33,"36,189.61",,BLUE,729.99,
4:13:08 AM,2013-12-11 4:13:08 AM,0.0706,µg/ml,,,dsDNA BR,,,310.33,"36,189.61",,BLUE,967.58,
4:12:37 AM,2013-12-11 4:12:37 AM,0.0723,µg/ml,,,dsDNA BR,,,310.33,"36,189.61",,BLUE,983.84,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,RFU,ng/ul,,,,,,,,,,,,
Std 1,310.33,0,0.0170088854417548,,,,,,,,,,,
Std 2,6189.61,100,,,,,,,,,,,,
32,983.84,11.455621853016,,,,,,,,,,,,
33,967.58,11.1790573757331,,,,,,,,,,,,
34,729.99,7.13791628362657,,,,,,,,,,,,
35,391.98,1.38874291545904,,,,,,,,,,,,
36,1135.01,14.0268550652461,,,,,,,,,,,,
,,,,,,,,,,,,,,
32,795.14,8.24604517015689,,,,,,,,,,,,
33,766.62,7.76095175735805,,,,,,,,,,,,
34,572.95,4.4668409138534,,,,,,,,,,,,
35,348.65,0.651747909267804,,,,,,,,,,,,
36,945.31,10.8002694969452,,,,,,,,,,,,
,,,,,,,,,,,,,,
,94531,,,,,,,,,,,,,
,,,,,,,,,,,,,,